Abstractor #1,Row,Cal (rank 1 worst-10 best),GG vibes ranking,Kanny vibes ranking,Avery vibes ranking,vibes,Movie,Name,Year,Comp,PP,DD,MM,FF,Ch,Nom,Pic,Dir,Aml,Afl,Ams,Afs,Scr,Cin,Art,Cos,Sco,Son,Edi,Sou,For,Anf,Eff,Mak,Dan,AD,PrNl,PrWl,PrNs,PrWs,PrN,PrW,Gdr,Gmc,Gd,Gm1,Gm2,Gf1,Gf2,PGA,DGA,SAM,SAF,SAE,PN,PD,DN,DP,DPrN,DPrW,MN,MP,MPrN,MPrW,FN,FP,FPrN,FPrW,Age,Action,Adventure,Animation,Biography,Comedy,Crime,Docu,Drama,Family,Fantasy,Film-noir,History,Horror,Music,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western,Length,Days,G,PG,PG13,PGPG13,R,U,Ebert,NYFCC,LAFCA,NSFC,NBR,WR,
Stephen,-204,1,,,,0.25,Emilia Perez,Jacques Audiard,2024,368,0,1,0,0,0,13,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,0,0,0,0,0,0,0,0,52,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130,288,0,0,0,0,1,0,3,0,0,0,0,5.5,
Stephen,-197,4,,,1,1.25,Emilia Perez,Emilia Perez,2024,367,1,0,0,0,0,13,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130,288,0,0,0,0,1,0,3,0,0,0,0,5.5,
Divine-Favour,-208,3,,,,0.75,I'm Still Here,Fernanda Torres,2024,369,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,6,1,0,21,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,17,6,59,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,137,144,0,0,1,0,0,0,4,0,0,0,0,8.8,
Divine-Favour,-196,2,,,,0.5,I'm Still Here,I'm Still Here,2024,367,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,6,1,0,21,6,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,137,144,0,0,1,0,0,0,4,0,0,0,0,8.8,
Divine-Favour,-195,6,,,,1.5,Nickel Boys,Nickel Boys,2024,367,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,55,6,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,41,0,0,1,0,0,0,4,2,2,2,0,7.3,
Caleigh,-215,7,,,,1.75,Sing Sing,Sing Sing,2024,370,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,223,0,0,0,0,1,0,4,0,0,1,1,7.7,
Caleigh,-215,8,,,,2,Sing Sing,Coleman Domingo,2024,370,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,223,0,0,0,0,1,0,4,0,0,1,1,7.7,
Caleigh,-213,1,,,,0.25,The Apprentice,The Apprentice,2024,370,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122,286,0,0,0,0,1,0,2,0,0,0,0,7.1,
Caleigh,-213,7,,,,1.75,The Apprentice,Sebastian Stan,2024,370,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122,286,0,0,0,0,1,0,2,0,0,0,0,7.1,
Caleigh,-213,7,,,,1.75,The Apprentice,Jeremy Strong,2024,370,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122,286,0,0,0,0,1,0,2,0,0,0,0,7.1,
Avery,-217,8,,,,2,The Brutalist,Adrien Brody,2024,370,0,0,1,0,0,10,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,0,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,72,0,0,0,0,1,0,4,1,0,0,0,7.9,
Avery,-206,4,,,,1,The Brutalist,Brady Corbet,2024,368,0,1,0,0,0,10,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,10,1,2,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,72,0,0,0,0,1,0,4,0,0,0,0,7.9,
Avery,-201,10,,,,2.5,The Brutalist,The Brutalist,2024,367,1,0,0,0,0,10,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,72,0,0,0,0,1,0,4,1,0,0,0,7.9,
Avery,-209,8,,,,2,The Substance,Demi Moore,2024,369,0,0,0,1,0,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,62,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,141,163,0,0,0,0,1,0,3.5,0,0,0,0,7.3,
Avery,-203,5,,,,1.25,The Substance,Coralie Fargeat,2024,368,0,1,0,0,0,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,141,163,0,0,0,0,1,0,3.5,1,0,0,0,7.3,
Avery,-194,9,,,,2.25,The Substance,The Substance,2024,367,1,0,0,0,0,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,141,163,0,0,0,0,1,0,3.5,1,0,0,0,7.3,
Kanny,-212,7,,,,1.75,Wicked,Cynthia Erivo,2024,369,0,0,0,1,0,10,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,160,100,0,1,0,0,0,0,3,0,0,0,2,7.6,
Kanny,-193,5,,,,1.25,Wicked,Wicked,2024,367,1,0,0,0,0,10,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,160,100,0,1,0,0,0,0,3,0,0,0,2,7.6,
Mincen,-188,,,,,1,American Fiction,Jeffrey Wright,2023,366,0,0,1,0,2,5,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,59,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,436,0,0,0,0,1,0,2.5,0,0,0,0,7.5,
Mincen,-176,,,,,1,American Fiction,American Fiction,2023,363,1,0,0,0,2,5,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,436,0,0,0,0,1,0,2.5,0,0,0,0,7.5,
Nam-Anh,-184,,,,,2.5,Anatomy of a Fall,Sandra Huller,2023,365,0,0,0,1,2,5,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,6,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,6,3,46,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,152,210,0,0,0,0,1,0,3.5,1,1,1,1,7.6,
Nam-Anh,-181,,,,,2.25,Anatomy of a Fall,Justine Triet,2023,364,0,1,0,0,2,5,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,152,210,0,0,0,0,1,0,3.5,1,1,1,1,7.6,
Nam-Anh,-175,,,,,3,Anatomy of a Fall,Anatomy of a Fall,2023,363,1,0,0,0,2,5,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,152,210,0,0,0,0,1,0,3.5,1,1,1,1,7.6,
Nam-Anh,-174,,,,,2,Barbie,Barbie,2023,363,1,0,0,0,2,8,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,5,2,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,114,240,0,0,1,0,0,0,3.5,0,1,0,0,6.8,
Ajmery,-185,,,,,2,Killers of the Flower Moon,Lily Gladstone,2023,365,0,0,0,1,2,10,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,38,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,206,142,0,0,0,0,1,0,4,1,0,0,1,7.6,
Ajmery,-180,,,,,1,Killers of the Flower Moon,Martin Scorcese,2023,364,0,1,0,0,2,10,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,1,2,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,206,142,0,0,0,0,1,0,4,0,0,0,1,7.6,
Ajmery,-172,,,,,1.75,Killers of the Flower Moon,Killers of the Flower Moon,2023,363,1,0,0,0,2,10,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,206,142,0,0,0,0,1,0,4,1,0,0,1,7.6,
Ajmery,-191,,,,,1.25,Maestro,Bradley Cooper,2023,366,0,0,1,0,2,7,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,50,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,129,190,0,0,0,0,1,0,3,0,0,0,1,6.5,
Ajmery,-183,,,,,0.5,Maestro,Carey Mulligan,2023,365,0,0,0,1,2,7,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,39,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,129,190,0,0,0,0,1,0,3,0,0,0,0,6.5,
Ajmery,-171,,,,,0.75,Maestro,Maestro,2023,363,1,0,0,0,2,7,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,129,190,0,0,0,0,1,0,3,0,0,0,0,6.5,
Feng,-186,,,,,1.25,Nyad,Annette Bening,2023,365,0,0,0,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,67,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,121,491,0,0,1,0,0,0,2.5,0,0,0,0,7.1,
Feng,-192,,,,,3,Oppenheimer,Cillian Murphy,2023,366,0,0,1,0,1,7,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,2,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,1,1,1,0,0,0,0,49,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,180,596,0,0,0,0,1,0,4,1,1,1,1,8.3,
Feng,-182,,,,,2.5,Oppenheimer,Christopher Nolan,2023,364,0,1,0,0,1,7,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,2,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,7,1,1,1,0,0,0,0,0,0,0,0,55,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,180,596,0,0,0,0,1,0,4,1,1,1,1,8.3,
Feng,-177,,,,,2.5,Oppenheimer,Oppenheimer,2023,363,1,0,0,0,1,7,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,2,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,180,596,0,0,0,0,1,0,4,1,1,1,1,8.3,
Siqi,-170,,,,,1.25,Past Lives,Past Lives,2023,363,1,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,105,414,0,0,1,0,0,0,4,0,0,1,0,7.8,
Siqi,-187,,,,,3,Poor Things,Emma Stone,2023,365,0,0,0,1,1,11,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,2,0,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,34,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,141,191,0,0,0,0,1,0,4,0,1,0,0,7.8,
Siqi,-179,,,,,3,Poor Things,Yorgos Lanthimos,2023,364,0,1,0,0,2,11,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,2,0,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11,1,6,1,0,0,0,0,0,0,0,0,49,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,141,191,0,0,0,0,1,0,4,0,0,0,0,7.8,
Siqi,-169,,,,,2.25,Poor Things,Poor Things,2023,363,1,0,0,0,2,11,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,2,0,6,1,0,1,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,141,191,0,0,0,0,1,0,4,0,0,0,0,7.8,
Helen,-190,,,,,2,Rustin,Colman Domingo,2023,366,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,55,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,106,114,0,0,1,0,0,0,2,0,0,0,0,6.5,
Helen,-189,,,,,1.75,The Holdovers,Paul Giamatti,2023,366,0,0,1,0,2,5,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,57,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,152,1,0,0,0,1,0,3.5,1,0,1,1,7.9,
Helen,-173,,,,,1.5,The Holdovers,The Holdovers,2023,363,1,0,0,0,2,5,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,152,1,0,0,0,1,0,3.5,1,0,1,1,7.9,
Nkasiobi,-178,,,,,2,The Zone of Interest,Jonathan Glazer,2023,364,0,1,0,0,2,5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,105,19,1,1,1,0,0,0,4,0,1,1,1,7.3,
Nkasiobi,-168,,,,,2.75,The Zone of Interest,The Zone of Interest,2023,363,1,0,0,0,2,5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,105,19,1,1,1,0,0,0,4,0,1,1,1,7.3,
Andrea,-151,,,,,,All Quiet on the Western Front,All Quiet on the Western Front,2022,359,1,0,0,0,2,9,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,148,135,0,0,0,0,1,0,2,0,0,0,0,7.8,
Andrea,-150,,,,,,Avatar: The Way of Water,Avatar: The Way of Water,2022,359,1,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,192,86,0,0,1,0,0,0,3.5,1,0,0,1,7.5,
Andrea,-160,,,,,,Blonde,Ana de Armas,2022,361,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,167,165,0,0,0,0,1,0,2.5,0,0,0,0,5.5,
